"","geoid","year","sex","race","percent_high_speed_internet","percent_regular_internet"
"36","01073",2015,"male","black",55.6562460448045,14.5627135805594
"37","01073",2015,"male","hispanic",47.1956577927113,22.0211941070044
"38","01073",2015,"male","other",62.7032887603903,27.1774485001807
"39","01073",2015,"male","total",67.9113030479196,12.3552861058052
"40","01073",2015,"male","white",75.7031870632431,10.1253551279807
"41","01073",2015,"total","black",52.6136906763909,15.7060416703546
"42","01073",2015,"total","hispanic",47.6424540324049,23.3205898416166
"43","01073",2015,"total","other",61.1580650962057,30.588023736738
"44","01073",2015,"total","total",63.2258356906273,13.9655035670988
"45","01073",2015,"total","white",72.4345447440406,11.546413726953
"46","01073",2016,"female","black",57.0657809705586,21.0342806474399
"47","01073",2016,"female","hispanic",59.4117647058824,36.3467492260062
"48","01073",2016,"female","other",70.6933523945675,10.3407195615916
"49","01073",2016,"female","total",65.8403014132247,16.5139991876409
"50","01073",2016,"female","white",74.3287615505318,11.5897599814029
"51","01073",2016,"male","black",52.4694458396116,20.2434765970678
"52","01073",2016,"male","hispanic",41.5920716112532,45.3324808184143
"53","01073",2016,"male","other",66.2427133015368,11.7647058823529
"54","01073",2016,"male","total",66.073092713397,17.1380836040937
"55","01073",2016,"male","white",75.2315472470027,14.3289391442696
"56","01073",2016,"total","black",55.2921089063221,20.7291185971389
"57","01073",2016,"total","hispanic",50.6448568732306,40.7675369613086
"58","01073",2016,"total","other",68.5861247020449,11.0149291180529
"59","01073",2016,"total","total",65.9461709106043,16.7978220944395
"60","01073",2016,"total","white",74.7852381773258,12.9747744641728
"61","01073",2017,"female","black",53.3695950137785,27.7344144508087
"62","01073",2017,"female","hispanic",40.9623938536191,36.5952284674484
"63","01073",2017,"female","other",65.2725402811107,22.488858416181
"64","01073",2017,"female","total",61.2143243757223,21.779136616978
"65","01073",2017,"female","white",70.5983843139784,14.4992502055888
"66","01073",2017,"male","black",54.3348123107261,21.8419137497946
"67","01073",2017,"male","hispanic",44.1161356628983,33.4275436793422
"68","01073",2017,"male","other",81.8331762488219,11.9934024505184
"69","01073",2017,"male","total",67.6938134660087,16.9626034827291
"70","01073",2017,"male","white",76.0532613535174,13.4725623330365
"71","01073",2017,"total","black",53.7369982485613,25.4914751402938
"72","01073",2017,"total","hispanic",42.8908091123331,34.6582875098193
"73","01073",2017,"total","other",75.0872783130848,16.2686775590001
"74","01073",2017,"total","total",64.27775399791,19.5019338816842
"75","01073",2017,"total","white",73.5265779862423,13.9481212048787
"76","01073",2018,"female","black",61.3452326642336,21.7253079379562
"77","01073",2018,"female","hispanic",36.3300142247511,40.8534850640114
"78","01073",2018,"female","other",50.4528681650453,29.6544783629654
"79","01073",2018,"female","total",63.8315008305588,22.1424821843337
"80","01073",2018,"female","white",68.812777341685,21.1989170658251
"81","01073",2018,"male","black",53.9934205644463,23.3025798313092
"82","01073",2018,"male","hispanic",73.0606488011284,24.5063469675599
"83","01073",2018,"male","other",80.7421503330162,12.9781160799239
"84","01073",2018,"male","total",67.8639961621492,20.0330671966556
"85","01073",2018,"male","white",74.8768545124025,18.4527649094001
"86","01073",2018,"total","black",58.657176706791,22.3020086277844
"87","01073",2018,"total","hispanic",52.7318532514565,33.5537710596756
"88","01073",2018,"total","other",69.7790189412336,19.0140845070423
"89","01073",2018,"total","total",65.6717293144901,21.1798510526007
"90","01073",2018,"total","white",71.9791786274735,19.7649940674398
"91","01073",2019,"female","black",53.3433858034695,30.2320993221629
"92","01073",2019,"female","hispanic",46.6135458167331,47.7025232403718
"93","01073",2019,"female","other",53.401874811007,35.4399758088902
"94","01073",2019,"female","total",62.2262748887407,25.9673094982103
"95","01073",2019,"female","white",72.6483945386747,19.9344176666038
"96","01073",2019,"male","black",48.0406873837743,32.2832881500235
"97","01073",2019,"male","hispanic",54.2914171656687,16.7221113328898
"98","01073",2019,"male","other",72.2822491730981,23.7265711135612
"99","01073",2019,"male","total",64.1243322331485,23.9196638197965
"100","01073",2019,"male","white",75.4770738427339,18.5976612032123
"101","01073",2019,"total","black",51.2959150128899,31.0241015969687
"102","01073",2019,"total","hispanic",50.7976794778825,30.8194343727339
"103","01073",2019,"total","other",64.3203264473349,28.6661565927059
"104","01073",2019,"total","total",63.0698272277041,25.0572757173642
"105","01073",2019,"total","white",74.0090361445783,19.2914156626506
